,Year,Player,PF,PTS
3262,1971,Bingo Smith,175,1168
13858,1998,Jerry Stackhouse,175,1249
6934,1983,World B.,175,1309
6700,1982,Calvin Natt,175,1326
22154,2013,Josh Smith,175,1327
7780,1985,Norm Nixon,175,1395
16424,2003,Jason Terry,175,1395
9189,1989,Brad Daugherty,175,1475
9103,1988,James Worthy*,175,1478
20977,2011,Zach Randolph,175,1504
12601,1996,Reggie Miller*,175,1606
9544,1989,James Worthy*,175,1657
3013,1970,Oscar Robertson*,175,1748
8145,1986,Mike Mitchell,175,1921
9819,1990,Reggie Miller*,175,2016
16656,2004,Reggie Evans,176,217
9508,1989,Chris Welp,176,246
7505,1984,Darren Tillis,176,257
15553,2002,Corie Blount,176,259
17042,2004,Jahidi White,176,261
17044,2004,Jahidi White,176,261
21562,2012,Chris Singleton,176,306
8270,1986,Jerome Whitehead,176,312
723,1953,Dave Minor,176,318
16088,2003,Kelvin Cato,176,332
2313,1966,Jerry Sloan*,176,338
5523,1979,Kenny Higgs,176,339
21460,2012,Ian Mahinmi,176,354
6162,1981,Coby Dietrick,176,371
2340,1966,Jim Washington,176,384
2470,1967,Ben Warley,176,384
3954,1974,George Johnson,176,405
506,1952,Al Cervi*,176,417
16400,2003,Brian Skinner,176,461
1399,1959,Andy Johnson,176,463
3203,1971,Bobby Lewis,176,467
875,1954,Fred Schaus,176,475
15292,2001,Brad Miller,176,505
6595,1982,Phil Hubbard,176,520
7960,1986,Michael Cage,176,521
23402,2015,Marcus Smart,176,523
14936,2000,Charlie Ward,176,528
9554,1990,Greg Anderson,176,529
13391,1997,Hot Rod,176,541
9439,1989,Brad Sellers,176,551
19731,2009,Andres Nocioni,176,551
823,1954,Lew Hitch,176,575
2860,1969,Ron Williams,176,585
10456,1992,Victor Alexander,176,589
4141,1975,Gary Brokaw,176,594
16224,2003,Mike James,176,607
17981,2006,Rashad McCants,176,627
24618,2017,Tristan Thompson,176,630
21188,2012,Elton Brand,176,659
20053,2010,DeMar DeRozan,176,662
12939,1997,Tyrone Corbin,176,666
21303,2012,Channing Frye,176,674
5905,1980,Greg Kelser,176,709
16155,2003,Kendall Gill,176,714
17039,2004,Jiri Welsch,176,746
7413,1984,Mike McGee,176,757
16238,2003,Jumaine Jones,176,784
6492,1982,Don Buse,176,797
9848,1990,John Paxson,176,819
12091,1995,Danny Manning,176,822
18306,2007,Matt Carroll,176,869
23561,2016,Kent Bazemore,176,872
17248,2005,Derek Fisher,176,877
2751,1969,Gus Johnson*,176,878
7259,1984,Lester Conner,176,907
6896,1983,Brad Davis,176,915
15353,2001,Ruben Patterson,176,988
24378,2017,Tyler Johnson,176,1002
16505,2004,Gilbert Arenas,176,1078
9231,1989,Armen Gilliam,176,1176
7079,1983,Norm Nixon,176,1191
19557,2009,Richard Hamilton,176,1225
22619,2014,Wesley Matthews,176,1343
9810,1990,Rodney McCray,176,1358
8801,1988,Mike Gminski,176,1365
10604,1992,Armen Gilliam,176,1367
6524,1982,Johnny Davis,176,1396
6837,1983,Greg Ballard,176,1401
7746,1985,Jeff Malone,176,1436
14710,2000,Eddie Jones,176,1446
3735,1973,Jim McMillian,176,1533
16576,2004,Kobe Bryant,176,1557
22554,2014,Al Jefferson,176,1594
19625,2009,Joe Johnson,176,1688
3510,1972,Cazzie Russell,176,1693
2148,1965,Sam Jones*,176,2070
19734,2009,Dirk Nowitzki,176,2094
10280,1991,Chris Mullin*,176,2107
22700,2014,Kendrick Perkins,177,211
15597,2002,Chris Childs,177,285
1484,1960,Ray Felix,177,342
12080,1995,Luc Longley,177,358
2462,1967,Gene Tormohlen,177,394
5866,1980,Gar Heard,177,406
18141,2006,Maurice Taylor,177,422
11417,1994,P.J. Brown,177,450
128,1950,Leo Klier,177,455
5659,1979,Paul Silas,177,456
4334,1975,Neal Walk,177,482
20651,2011,Dante Cunningham,177,482
18805,2008,Bruce Bowen,177,483
18007,2006,Alonzo Mourning*,177,509
1167,1957,Joe Holup,177,524
5483,1979,Don Ford,177,528
5036,1978,Kent Benson,177,532
21417,2012,James Johnson,177,566
873,1954,Al Roges,177,570
8473,1987,Albert King,177,582
22135,2013,Thabo Sefolosha,177,613
23686,2016,Langston Galloway,177,625
1918,1963,Dolph Schayes*,177,627
6217,1981,Gerald Henderson,177,636
20240,2010,Nenad Krstic,177,639
18641,2007,John Salmons,177,671
24340,2017,Rondae Hollis-Jefferson,177,675
11629,1994,George Lynch,177,681
8848,1988,Jay Humphries,177,683
17169,2005,Marcus Camby,177,683
16020,2003,Shandon Anderson,177,687
18336,2007,Boris Diaw,177,709
16288,2003,Aaron McKie,177,721
23133,2015,Solomon Hill,177,729
18869,2008,Carlos Delfino,177,738
4938,1977,Dick Snyder,177,759
10793,1992,Fred Roberts,177,769
23462,2015,Greivis Vasquez,177,775
18344,2007,Juan Dixon,177,778
9793,1990,Dan Majerle,177,809
22525,2014,J.J. Hickson,177,814
20673,2011,Toney Douglas,177,856
17767,2006,Speedy Claxton,177,871
4037,1974,Curtis Rowe,177,878
8168,1986,Louis Orr,177,878
13589,1998,Armen Gilliam,177,921
5501,1979,Gail Goodrich*,177,938
7211,1983,Orlando Woolridge,177,939
15529,2002,Chucky Atkins,177,957
17412,2005,Jeff McInnis,177,975
17577,2005,Jason Terry,177,993
11317,1993,Spud Webb,177,1000
2265,1966,Cliff Hagan*,177,1014
18029,2006,Jermaine O'Neal,177,1024
23542,2016,Trevor Ariza,177,1025
16790,2004,Voshon Lenard,177,1038
24527,2017,Elfrid Payton,177,1046
22934,2015,Avery Bradley,177,1071
21028,2011,Rodney Stuckey,177,1082
4329,1975,Dick Van,177,1124
11176,1993,Eric Murdock,177,1138
16537,2004,Chauncey Billups,177,1318
16762,2004,Joe Johnson,177,1367
5463,1979,Johnny Davis,177,1444
12889,1997,Terrell Brandon,177,1519
5669,1979,Randy Smith,177,1678
22504,2014,James Harden,177,1851
16232,2003,Ervin Johnson,178,152
6177,1981,Len Elmore,178,206
10109,1991,Greg Dreiling,178,259
20954,2011,Johan Petro,178,273
3413,1972,John Hummer,178,284
24238,2017,Kris Dunn,178,293
879,1954,Dick Schnittker,178,330
5597,1979,Joe Meriweather,178,391
5051,1978,Jim Brewer,178,396
15490,2001,Scott Williams,178,403
2087,1965,Al Bianchi,178,404
8412,1987,Kenny Gattison,178,404
3826,1973,Cornell Warner,178,407
11484,1994,Acie Earl,178,410
694,1953,Don Lofgran,178,472
5744,1980,Kent Benson,178,492
3993,1974,Kenny McIntosh,178,511
15453,2001,Kenny Thomas,178,528
695,1953,Ray Lumpp,178,529
9967,1990,Kenny Walker,178,535
1300,1958,Dick McGuire*,178,556
2766,1969,Stu Lantz,178,569
23641,2016,Matthew Dellavedova,178,569
12312,1996,Vincent Askew,178,582
23801,2016,Stanley Johnson,178,593
12771,1996,Sedale Threatt,178,596
6326,1981,Johnny Moore,178,604
15975,2002,Ben Wallace,178,609
18100,2006,John Salmons,178,619
11274,1993,LaBradford Smith,178,639
24106,2017,Tony Allen,178,643
14570,2000,Bimbo Coles,178,645
4184,1975,Leroy Ellis,178,646
12548,1996,Andrew Lang,178,657
10872,1992,Alexander Volkov,178,662
23985,2016,Luis Scola,178,664
2764,1969,Howard Komives,178,682
3163,1971,Shaler Halimon,178,707
15000,2001,Chauncey Billups,178,713
11140,1993,Brad Lohaus,178,724
4493,1976,Charles Johnson,178,744
1355,1959,Carl Braun,178,754
7386,1984,Fat Lever,178,788
5121,1978,Alex English*,178,790
3315,1972,Zaid Abdul-Aziz,178,798
15952,2002,Stromile Swift,178,803
8501,1987,Cedric Maxwell,178,809
5835,1980,Chris Ford,178,816
2599,1968,Don Nelson*,178,819
15276,2001,Aaron McKie,178,878
1049,1956,Ed Fleming,178,889
18125,2006,DeShawn Stevenson,178,900
18086,2006,Luke Ridnour,178,910
20743,2011,Ben Gordon,178,921
6005,1980,Cliff Robinson,178,951
20034,2010,Mike Conley,178,959
20215,2010,Richard Jefferson,178,994
12302,1996,Kenny Anderson,178,1050
10800,1992,Rumeal Robinson,178,1055
20135,2010,Devin Harris,178,1080
10614,1992,Harvey Grant,178,1155
12017,1995,Hersey Hawkins,178,1172
5952,1980,Bob McAdoo*,178,1222
17571,2005,Wally Szczerbiak,178,1253
5812,1980,Johnny Davis,178,1300
10108,1991,Sherman Douglas,178,1352
12991,1997,Dale Ellis,178,1361
9321,1989,Fat Lever,178,1409
8147,1986,Sidney Moncrief,178,1471
16621,2004,Baron Davis,178,1532
12428,1996,Sean Elliott,178,1537
7671,1985,Darrell Griffith,178,1764
14825,2000,Gary Payton*,178,1982
21886,2013,James Harden,178,2023
9363,1989,Chris Mullin*,178,2176
19877,2009,Dwyane Wade,178,2386
18097,2006,Michael Ruffin,179,105
4099,1975,Don Adams,179,299
1291,1958,Earl Lloyd*,179,317
3974,1974,Clyde Lee,179,320
11969,1995,Pervis Ellison,179,375
11426,1994,Michael Cage,179,378
15663,2002,Adonal Foyle,179,379
2765,1969,Tommy Kron,179,388
1730,1962,Swede Halbrook,179,400
7581,1985,Randy Breuer,179,413
356,1951,Bob Donham,179,416
18638,2007,Quinton Ross,179,424
13505,1998,Chris Childs,179,429
15595,2002,Tyson Chandler,179,436
6785,1982,Foots Walker,179,456
21492,2012,Markieff Morris,179,467
15990,2002,Eric Williams,179,472
2325,1966,John Tresvant,179,484
4077,1974,Nick Weatherspoon,179,494
3956,1974,Ollie Johnson,179,495
6327,1981,Lowes Moore,179,497
12137,1995,Charles Oakley,179,506
16447,2003,Ben Wallace,179,506
995,1955,Dick Rosenthal,179,524
9731,1990,Dennis Johnson*,179,531
15484,2001,Eric Williams,179,535
5858,1980,Bob Gross,179,538
1767,1962,Jackie Moreland,179,549
1097,1956,Richie Regan,179,565
21384,2012,Serge Ibaka,179,603
16816,2004,Walter McCarty,179,605
7031,1983,Fat Lever,179,633
22456,2014,Evan Fournier,179,638
974,1955,Jack McMahon,179,645
13545,1998,Vlade Divac,179,667
1786,1962,Woody Sauldsberry,179,675
1207,1957,Richie Regan,179,696
7515,1984,Darnell Valentine,179,696
11251,1993,Donald Royal,179,706
23454,2015,P.J. Tucker,179,713
16472,2003,Jay Williams,179,714
2702,1969,Dave DeBusschere*,179,769
14407,1999,Maurice Taylor,179,773
11525,1994,Harvey Grant,179,798
4056,1974,Nate Thurmond*,179,807
10953,1993,Muggsy Bogues,179,808
833,1954,George King,179,817
24182,2017,Clint Capela,179,818
3024,1970,Jerry Sloan*,179,827
19050,2008,Chris Kaman,179,878
180,1950,Jack Nichols,179,879
15384,2001,Glen Rice,179,899
17137,2005,Carlos Boozer,179,909
7481,1984,Jerry Sichting,179,917
18553,2007,Adam Morrison,179,917
11937,1995,Vinny Del,179,938
23862,2016,Wesley Matthews,179,977
12518,1996,Avery Johnson,179,1071
19606,2009,Jarrett Jack,179,1074
12721,1996,Detlef Schrempf,179,1080
6154,1981,Johnny Davis,179,1094
22283,2014,Trevor Ariza,179,1107
5218,1978,Moses Malone*,179,1144
21442,2012,David Lee,179,1147
5042,1978,Otis Birdsong,179,1156
11379,1994,Stacey Augmon,179,1212
20209,2010,Antawn Jamison,179,1235
16843,2004,Cuttino Mobley,179,1260
14853,2000,Glen Rice,179,1272
21700,2013,Ryan Anderson,179,1309
11029,1993,Dale Ellis,179,1366
12753,1996,Jerry Stackhouse,179,1384
10258,1991,Vernon Maxwell,179,1397
8910,1988,Kevin McHale*,179,1446
10911,1993,Mahmoud Abdul-Rauf,179,1553
15864,2002,Gary Payton*,179,1815
15889,2002,Don Reid,180,224
1940,1963,Gene Wiley,180,241
15771,2002,Art Long,180,285
8697,1988,James Bailey,180,288
13480,1998,Mark Bryant,180,291
4145,1975,Corky Calhoun,180,322
16745,2004,Jerome James,180,324
24221,2017,Dewayne Dedmon,180,387
5425,1979,John Brown,180,388
14624,2000,Danny Fortson,180,419
954,1955,Bob Houbregs*,180,425
14482,2000,Chris Anstey,180,439
21687,2013,Lavoy Allen,180,455
342,1951,Al Cervi*,180,458
17573,2005,Maurice Taylor,180,472
17743,2006,Greg Buckner,180,491
16154,2003,Devean George,180,492
4393,1976,Butch Beard,180,503
5996,1980,Kevin Porter,180,512
20888,2011,Luc Mbah,180,529
207,1950,Don Otten,180,556
14333,1999,Theo Ratliff,180,560
1454,1959,Charlie Tyra,180,609
5001,1977,Willie Wise,180,616
19022,2008,Marko Jaric,180,621
23693,2016,Taj Gibson,180,627
1537,1960,Med Park,180,641
4328,1975,Wes Unseld*,180,672
10722,1992,Rodney McCray,180,677
6494,1982,Kenny Carr,180,688
5185,1978,Ollie Johnson,180,695
17051,2004,Eric Williams,180,712
23130,2015,Nene Hilario,180,737
18253,2007,Andrea Bargnani,180,751
16127,2003,Predrag Drobnjak,180,771
23457,2015,Evan Turner,180,779
14767,2000,George McCloud,180,787
7188,1983,Paul Westphal,180,798
15067,2001,Austin Croshere,180,822
20528,2011,Trevor Ariza,180,826
14760,2000,Donyell Marshall,180,910
5013,1978,Lucius Allen,180,920
13595,1998,Horace Grant,180,921
10408,1991,Spud Webb,180,1003
20255,2010,Rashard Lewis,180,1013
21486,2012,Greg Monroe,180,1015
10044,1991,Mookie Blaylock,180,1017
18366,2007,Raymond Felton,180,1093
24641,2017,Nikola Vucevic,180,1096
8086,1986,Vinnie Johnson,180,1097
19519,2009,T.J. Ford,180,1106
12126,1995,Lamond Murray,180,1142
2611,1968,Flynn Robinson,180,1167
24264,2017,Evan Fournier,180,1167
22111,2013,Zach Randolph,180,1169
9897,1990,Byron Scott,180,1197
13479,1998,Kobe Bryant,180,1220
18434,2007,Josh Howard,180,1321
13220,1997,Shaquille O'Neal*,180,1336
7231,1984,Otis Birdsong,180,1365
22492,2014,Jeff Green,180,1382
23472,2015,John Wall,180,1387
11148,1993,Dan Majerle,180,1388
7431,1984,Norm Nixon,180,1391
12457,1996,Armen Gilliam,180,1429
10662,1992,Kevin Johnson,180,1536
23539,2016,Carmelo Anthony,180,1573
16116,2003,Ricky Davis,180,1626
7066,1983,Sidney Moncrief,180,1712
8121,1986,Jeff Malone,180,1795
5687,1979,David Thompson*,180,1825
3297,1971,Jerry West*,180,1859
11562,1994,Byron Houston,181,196
17864,2006,Orien Greene,181,254
13180,1997,Oliver Miller,181,294
19363,2009,Hilton Armstrong,181,338
7763,1985,Joe Meriweather,181,339
5139,1978,Glen Gondrezick,181,345
5029,1978,Tim Bassett,181,348
20949,2011,Nikola Pekovic,181,359
6877,1983,Jeff Cook,181,375
3802,1973,Larry Steele,181,389
5107,1978,Charles Dudley,181,392
2033,1964,Don Nelson*,181,419
4904,1977,Jim Price,181,435
13253,1997,Theo Ratliff,181,439
12610,1996,Eric Montross,181,442
20284,2010,Luc Mbah,181,453
920,1955,Bill Calhoun,181,454
14621,2000,Danny Ferry,181,463
13517,1998,Terry Cummings,181,467
1863,1963,Wayne Hightower,181,489
19232,2008,Darius Songaila,181,495
18635,2007,Rajon Rondo,181,501
11126,1993,Larry Krystkowiak,181,513
14087,1999,Bison Dele,181,513
17514,2005,Clifford Robinson,181,533
2283,1966,Jim King,181,570
13486,1998,Jason Caffey,181,583
2901,1970,Freddie Crawford,181,587
559,1952,Dick McGuire*,181,591
2472,1967,Jim Washington,181,592
15776,2002,Todd MacCulloch,181,604
19841,2009,Marreese Speights,181,608
10610,1992,Gary Grant,181,609
20470,2010,Earl Watson,181,619
8744,1988,Tyrone Corbin,181,625
23606,2016,Mario Chalmers,181,628
9535,1989,Reggie Williams,181,642
13767,1998,Bobby Phills,181,642
23931,2016,Zaza Pachulia,181,650
15147,2001,Horace Grant,181,657
1397,1959,Bob Hopkins,181,668
603,1952,Bill Sharman*,181,671
11114,1993,Jerome Kersey,181,686
21116,2011,Metta World,181,697
16326,2003,Lamar Odom,181,714
5368,1978,Nate Williams,181,725
246,1950,Ed Sadowski,181,726
13611,1998,Ron Harper,181,764
9483,1989,Wayman Tisdale,181,768
18626,2007,Luke Ridnour,181,779
4716,1977,Dave Cowens*,181,818
10107,1991,James Donaldson,181,819
7400,1984,Kyle Macy,181,832
10745,1992,Johnny Newman,181,839
261,1950,Fred Scolari,181,860
1976,1964,Johnny Egan,181,861
17422,2005,Brad Miller,181,876
19059,2008,Linas Kleiza,181,880
3266,1971,Dave Sorenson,181,890
21341,2012,Al Harrington,181,910
10416,1991,Gerald Wilkins,181,938
17822,2006,Raymond Felton,181,948
16680,2004,Manu Ginobili,181,987
5421,1979,Ron Brewer,181,1078
21062,2011,Beno Udrih,181,1086
17102,2005,Chucky Atkins,181,1115
1322,1958,Bill Russell*,181,1142
22171,2013,Jeff Teague,181,1166
12992,1997,LaPhonso Ellis,181,1203
11890,1995,Dee Brown,181,1236
5567,1979,Bob Lanier*,181,1253
18330,2007,Baron Davis,181,1264
15982,2002,Chris Webber,181,1322
12025,1995,Jeff Hornacek,181,1337
10204,1991,Eddie Johnson,181,1354
19108,2008,Andre Miller,181,1398
9437,1989,Byron Scott,181,1448
4337,1975,Chet Walker*,181,1461
20206,2010,Stephen Jackson,181,1518
2566,1968,Sam Jones*,181,1553
18523,2007,Kevin Martin,181,1618
16345,2003,Gary Payton*,181,1634
1202,1957,Bob Pettit*,181,1755
20458,2010,Dwyane Wade,181,2045
17918,2006,LeBron James,181,2478
9760,1990,Jon Koncak,182,198
11882,1995,Sam Bowie,182,306
494,1952,Nelson Bobb,182,319
15853,2002,Bo Outlaw,182,342
14293,1999,Charles Oakley,182,348
3302,1971,Art Williams,182,360
13822,1998,Danny Schayes,182,406
461,1951,Kenny Sailors,182,475
5310,1978,Paul Silas,182,477
3848,1973,Dave Wohl,182,493
22582,2014,Kosta Koufos,182,514
1289,1958,Jim Krebs,182,533
5571,1979,Ron Lee,182,534
19175,2008,James Posey,182,545
1143,1957,Larry Costello,182,547
8780,1988,Craig Ehlo,182,563
24336,2017,Solomon Hill,182,563
22918,2015,Patrick Beverley,182,568
2790,1969,Otto Moore,182,570
17367,2005,Chris Kaman,182,572
14873,2000,Detlef Schrempf,182,574
6346,1981,Billy Paultz,182,599
17570,2005,Stromile Swift,182,604
4023,1974,Ed Ratleff,182,611
13558,1998,Howard Eisley,182,633
16499,2004,Shandon Anderson,182,635
9618,1990,Lester Conner,182,648
5546,1979,Ollie Johnson,182,650
3752,1973,Willie Norwood,182,652
6777,1982,Elston Turner,182,661
19126,2008,Bostjan Nachbar,182,738
9635,1990,Vinny Del,182,739
3227,1971,Otto Moore,182,741
15430,2001,Bryant Stith,182,756
7451,1984,Kelvin Ransey,182,760
17615,2005,Gerald Wallace,182,780
8213,1986,Rory Sparrow,182,796
4287,1975,Jim Price,182,803
11199,1993,Robert Pack,182,810
6778,1982,Terry Tyler,182,815
15987,2002,Chris Whitney,182,833
23847,2016,Robin Lopez,182,842
20378,2010,Luke Ridnour,182,852
5125,1978,Chris Ford,182,861
6657,1982,Allen Leavell,182,864
5737,1980,Rick Barry*,182,866
1170,1957,Mel Hutchins,182,890
18574,2007,Lamar Odom,182,890
7409,1984,Bob McAdoo*,182,916
6708,1982,Louis Orr,182,918
19580,2009,Grant Hill,182,985
6873,1983,Maurice Cheeks,182,990
10492,1992,Mookie Blaylock,182,996
2125,1965,Cliff Hagan*,182,1000
11795,1994,Spud Webb,182,1005
14481,2000,Shandon Anderson,182,1009
13696,1998,Anthony Mason,182,1039
20575,2011,Andray Blatche,182,1076
12027,1995,Allan Houston,182,1101
24092,2016,Thaddeus Young,182,1102
20642,2011,Mike Conley,182,1107
15537,2002,Brent Barry,182,1164
12588,1996,Vernon Maxwell,182,1217
6111,1981,Junior Bridgeman,182,1290
19927,2010,Ray Allen,182,1304
13873,1998,Rod Strickland,182,1349
21857,2013,Rudy Gay,182,1366
19802,2009,John Salmons,182,1446
16932,2004,Jason Richardson,182,1461
7339,1984,Dan Issel*,182,1506
15712,2002,Allan Houston,182,1567
5010,1978,Kareem Abdul-Jabbar*,182,1600
11167,1993,Reggie Miller*,182,1736
10180,1991,Hersey Hawkins,182,1767
7773,1985,Calvin Natt,182,1817
7940,1986,Larry Bird*,182,2115
1962,1964,Wilt Chamberlain*,182,2948
13784,1998,Don Reid,183,238
15005,2001,Mark Blount,183,248
1837,1963,Walter Dukes,183,267
17505,2005,Theo Ratliff,183,304
14755,2000,Danny Manning,183,333
5476,1979,Len Elmore,183,334
20703,2011,Derrick Favors,183,353
1338,1958,Art Spoelstra,183,382
11978,1995,Greg Foster,183,385
2096,1965,Donnie Butcher,183,412
12651,1996,Will Perdue,183,413
3711,1973,Clyde Lee,183,414
2666,1969,Al Attles,183,419
2374,1967,Mel Counts,183,423
5429,1979,Tom Burleson,183,435
6730,1982,Rick Robey,183,454
20187,2010,Zydrunas Ilgauskas,183,474
17445,2005,Bostjan Nachbar,183,494
4484,1976,Gar Heard,183,496
10973,1993,Michael Cage,183,499
20662,2011,Ed Davis,183,501
23840,2016,Meyers Leonard,183,511
4973,1977,Kermit Washington,183,514
16938,2004,Rodney Rogers,183,539
15971,2002,Jacque Vaughn,183,540
811,1954,Bill Gabor,183,547
23995,2016,Marcus Smart,183,558
17047,2004,Chris Wilcox,183,559
9902,1990,Charles Shackleford,183,573
4928,1977,Paul Silas,183,582
7704,1985,Bobby Jones,183,600
10956,1993,Anthony Bonner,183,601
9135,1989,Walter Berry,183,609
18735,2007,Corliss Williamson,183,620
6475,1982,Mike Bratz,183,625
18197,2006,Chris Wilcox,183,626
19097,2008,Jason Maxiell,183,651
1312,1958,Jim Paxson,183,659
7220,1984,Richard Anderson,183,663
5707,1979,Marvin Webster,183,678
285,1950,Mike Todorovich,183,695
18560,2007,Bostjan Nachbar,183,696
3161,1971,Shaler Halimon,183,709
11869,1995,David Benoit,183,740
18303,2007,Marcus Camby,183,785
19600,2009,Zydrunas Ilgauskas,183,838
7743,1985,Maurice Lucas,183,842
13554,1998,Blue Edwards,183,872
22729,2014,Terrence Ross,183,879
468,1951,Fred Scolari,183,883
2259,1966,Johnny Green,183,918
617,1952,Max Zaslofsky,183,931
17151,2005,Primoz Brezec,183,938
23252,2015,Khris Middleton,183,1055
19369,2009,Kelenna Azubuike,183,1063
19539,2009,Ryan Gomes,183,1092
15208,2001,Eddie Jones,183,1094
21075,2011,Gerald Wallace,183,1113
2090,1965,Bob Boozer,183,1136
4654,1977,Lucius Allen,183,1139
1242,1958,Carl Braun,183,1173
6562,1982,Rickey Green,183,1202
2969,1970,Kevin Loughery,183,1207
2461,1967,Nate Thurmond*,183,1214
9719,1990,Dennis Hopson,183,1251
1405,1959,Red Kerr,183,1285
5588,1979,Jim McElroy,183,1337
9082,1988,Gerald Wilkins,183,1412
16377,2003,Glenn Robinson,183,1436
20119,2010,Danny Granger,183,1497
4633,1976,Jo Jo,183,1552
6185,1981,World B.,183,1565
23736,2016,Gordon Hayward,183,1578
24658,2017,Andrew Wiggins,183,1933
24216,2017,Stephen Curry,183,1999
3401,1972,John Havlicek*,183,2252
10046,1991,Manute Bol,184,155
5877,1980,Kim Hughes,184,219
4804,1977,Phil Jackson*,184,255
44,1950,Jack Cotton,184,276
22163,2013,Greg Stiemsma,184,307
20940,2011,Zaza Pachulia,184,349
18357,2007,Francisco Elson,184,350
13718,1998,Oliver Miller,184,401
15215,2001,Shawn Kemp,184,441
11984,1995,Winston Garland,184,448
15752,2002,Shawn Kemp,184,454
4372,1975,Dave Wohl,184,485
15035,2001,Jason Caffey,184,500
12205,1995,Brian Shaw,184,502
24082,2016,Justise Winslow,184,502
1026,1956,Ernie Barrett,184,507
2183,1965,Gary Phillips,184,516
885,1954,Chuck Share,184,528
5354,1978,Slick Watts,184,530
2066,1964,Nate Thurmond*,184,533
20904,2011,Nazr Mohammed,184,535
12325,1996,Benoit Benjamin,184,547
16517,2004,Leandro Barbosa,184,550
13236,1997,Will Perdue,184,565
1301,1958,Jack McMahon,184,566
20852,2011,Nenad Krstic,184,575
6702,1982,Carl Nicks,184,589
16597,2004,Calbert Cheaney,184,603
17619,2005,Earl Watson,184,615
8642,1987,Pearl Washington,184,616
3197,1971,Howard Komives,184,671
15749,2002,Jumaine Jones,184,671
7882,1985,Bill Walton*,184,676
15702,2002,Trenton Hassell,184,681
3057,1970,Walt Wesley,184,685
5551,1979,Jeff Judkins,184,709
17189,2005,Speedy Claxton,184,712
7260,1984,Darwin Cook,184,714
22025,2013,JaVale McGee,184,717
13592,1998,Brian Grant,184,737
19853,2009,Sebastian Telfair,184,738
17765,2006,Josh Childress,184,742
19831,2009,Craig Smith,184,746
23900,2016,Markieff Morris,184,765
14871,2000,Arvydas Sabonis*,184,778
15809,2002,Darius Miles,184,779
11985,1995,Chris Gatling,184,796
17185,2005,Josh Childress,184,807
12668,1996,Brent Price,184,810
15965,2002,Hedo Turkoglu,184,810
9157,1989,Michael Cage,184,825
18372,2007,Randy Foye,184,832
22932,2015,Carlos Boozer,184,836
3603,1973,Freddie Boyd,184,860
8593,1987,Derek Smith,184,863
3381,1972,Fred Foster,184,879
16412,2003,John Stockton*,184,884
9714,1990,Rod Higgins,184,909
6098,1981,Kent Benson,184,924
15689,2002,Anfernee Hardaway,184,959
6284,1981,Bob Lanier*,184,961
14983,2001,Chucky Atkins,184,971
10037,1991,Benoit Benjamin,184,982
2600,1968,Don Ohl,184,983
20027,2010,Wilson Chandler,184,993
16942,2004,Jalen Rose,184,1022
7604,1985,Maurice Cheeks,184,1025
9350,1989,Mike McGee,184,1038
20786,2011,Grant Hill,184,1056
19836,2009,Josh Smith,184,1073
18542,2007,Andre Miller,184,1075
19385,2009,Michael Beasley,184,1123
9678,1990,Armen Gilliam,184,1128
18908,2008,Raymond Felton,184,1140
2609,1968,Flynn Robinson,184,1176
7694,1985,Eddie Johnson,184,1193
9259,1989,Hersey Hawkins,184,1196
23690,2016,Rudy Gay,184,1204
11850,1995,Kenny Anderson,184,1267
5422,1979,Junior Bridgeman,184,1269
14885,2000,Latrell Sprewell,184,1524
18614,2007,Zach Randolph,184,1608
17845,2006,Pau Gasol,184,1628
7073,1983,Calvin Natt,184,1630
19544,2009,Ben Gordon,184,1699
18380,2007,Kevin Garnett,184,1704
6947,1983,Darrell Griffith,184,1709
15666,2002,Kevin Garnett,184,1714
15354,2001,Gary Payton*,184,1823
8375,1987,Walter Davis,184,1867
23480,2015,Russell Westbrook,184,1886
6753,1982,Jim Smith,185,211
2006,1964,Tom Hoover,185,285
12343,1996,Frank Brickowski,185,339
18659,2007,Eric Snow,185,342
8815,1988,Bill Hanzlik,185,350
20802,2011,Zydrunas Ilgauskas,185,360
22285,2014,Darrell Arthur,185,401
18261,2007,Tony Battie,185,404
10670,1992,Alec Kessler,185,410
1755,1962,Jim Loscutoff,185,421
6198,1981,Glen Gondrezick,185,422
3667,1973,Johnny Green,185,469
5058,1978,Joe Bryant,185,491
164,1950,Bones McKinney,185,492
1195,1957,Jack Nichols,185,498
19107,2008,Darko Milicic,185,505
3279,1971,John Tresvant,185,507
6256,1981,Edgar Jones,185,524
3691,1973,John Hummer,185,527
23543,2016,Darrell Arthur,185,527
24128,2017,Matt Barnes,185,527
23823,2016,Kosta Koufos,185,529
1608,1961,Larry Foust,185,552
6238,1981,Clemon Johnson,185,582
14725,2000,Brevin Knight,185,602
1905,1963,Gary Phillips,185,609
8189,1986,Doc Rivers,185,612
22298,2014,Matt Barnes,185,625
22704,2014,Miles Plumlee,185,646
11054,1993,Paul Graham,185,650
5691,1979,Dave Twardzik,185,667
14844,2000,Theo Ratliff,185,676
11915,1995,Bimbo Coles,185,679
12512,1996,Lindsey Hunter,185,679
19956,2010,Matt Barnes,185,716
7131,1983,Jerry Sichting,185,727
20788,2011,Kirk Hinrich,185,737
9968,1990,Spud Webb,185,751
22523,2014,John Henson,185,779
22065,2013,Joakim Noah,185,784
19074,2008,Kyle Lowry,185,791
6444,1981,Brian Winters,185,799
